text,avg_dwell_time_ms,avg_flight_time_ms,pause_ratio,backspace_rate,error_rate,correction_latency_ms,words_per_minute,burst_length,session_duration_sec,late_night_ratio,sentiment_polarity,negation_ratio,uncertainty_ratio,first_person_ratio,lexical_diversity,stress_pct,anxiety_pct,depression_pct
"I sent updates, answered messages, and planned tomorrow's priorities. I am rushing through deadlines and keep switching between tasks. My thoughts keep looping around possible mistakes and consequences. I can continue after a short break and another review pass.",121.616,144.45,0.301,0.22444,0.18844,281.783,60.542,9.689,956.224,0.19269,-0.32409,0.12665,0.1174,0.07105,0.57688,69.247,71.275,38.739
"The workday was manageable and I moved through the checklist steadily. There is too much to finish at once and the pace feels intense. The current draft is usable, but it still needs refinement.",113.537,129.159,0.24444,0.14778,0.15288,205.037,57.696,6.408,1129.984,0.20842,-0.66603,0.10477,0.09728,0.10744,0.61322,66.27,47.585,52.897
"I finished the review, documented the results, and cleaned up the notes. Everything feels urgent and I am trying to catch up quickly. My thoughts keep looping around possible mistakes and consequences. The work feels heavier than it should and I am moving slowly. The current draft is usable, but it still needs refinement.",138.186,145.233,0.38365,0.23225,0.19996,302.88,43.884,8.069,1070.07,0.27235,-0.64555,0.15474,0.13876,0.1259,0.57501,82.078,79.12,69.215
"I finished the review, documented the results, and cleaned up the notes. I will revisit the remaining items tomorrow.",92.572,100.649,0.11887,0.09059,0.0939,151.153,70.038,9.553,705.135,0.11332,-0.00769,0.04079,0.05417,0.07103,0.61353,29.295,29.21,15.569
I completed the main tasks for today and reviewed the next steps. There is too much to finish at once and the pace feels intense. I am uncertain about the outcome and keep second-guessing the details. It is hard to stay motivated and my energy feels low.,125.57,148.661,0.30774,0.17914,0.19254,268.294,46.498,6.986,1190.791,0.26657,-0.57389,0.13786,0.11391,0.11429,0.60463,62.41,72.342,59.027
"I sent updates, answered messages, and planned tomorrow's priorities. I keep correcting myself because I do not want to miss anything important. I am uneasy and keep revisiting the same point for reassurance. I feel mentally drained and focusing takes more effort than usual.",135.933,147.529,0.38198,0.24345,0.19737,282.305,43.196,6.096,1255.071,0.37569,-1.0,0.17494,0.0924,0.14784,0.52718,94.999,66.871,89.334
The workday was manageable and I moved through the checklist steadily. The work feels heavier than it should and I am moving slowly. The schedule is clear enough for the next session.,106.477,126.891,0.23486,0.10614,0.08524,195.213,60.124,7.468,773.898,0.26134,-0.41335,0.10905,0.06183,0.10184,0.57851,37.101,36.795,66.543
I completed the main tasks for today and reviewed the next steps. Everything feels urgent and I am trying to catch up quickly. I am uncertain about the outcome and keep second-guessing the details. The schedule is clear enough for the next session.,121.714,91.767,0.27007,0.19593,0.16019,240.402,69.578,8.691,840.59,0.10334,0.00104,0.09319,0.09525,0.06975,0.6521,58.718,64.933,23.529
I completed the main tasks for today and reviewed the next steps. I am rushing through deadlines and keep switching between tasks. I am uncertain about the outcome and keep second-guessing the details. I will revisit the remaining items tomorrow.,129.279,120.348,0.35012,0.2085,0.23065,277.35,48.513,8.871,1015.447,0.21924,-0.46587,0.12801,0.14795,0.08153,0.60019,76.867,84.823,42.35
The workday was manageable and I moved through the checklist steadily. I can continue after a short break and another review pass.,95.339,136.708,0.24359,0.11982,0.09603,201.755,57.503,11.22,892.457,0.16914,-0.51374,0.07229,0.07766,0.09435,0.73863,40.449,39.606,33.165
"The workday was manageable and I moved through the checklist steadily. I keep correcting myself because I do not want to miss anything important. I am uneasy and keep revisiting the same point for reassurance. I feel mentally drained and focusing takes more effort than usual. The current draft is usable, but it still needs refinement.",115.628,144.612,0.38372,0.23036,0.23804,240.457,38.038,7.409,1240.721,0.30252,-0.98551,0.16472,0.14882,0.12381,0.57009,86.368,85.086,65.001
I completed the main tasks for today and reviewed the next steps. I do not feel engaged and it is difficult to sustain momentum. I can continue after a short break and another review pass.,121.336,106.894,0.23587,0.10321,0.13142,191.064,55.136,8.872,901.803,0.23717,-0.52719,0.12533,0.08817,0.10275,0.62385,47.062,48.312,59.211
"I sent updates, answered messages, and planned tomorrow's priorities. I can continue after a short break and another review pass.",124.527,135.289,0.18459,0.11844,0.12251,186.211,62.516,5.471,865.217,0.1572,-0.1789,0.08236,0.07628,0.10914,0.62486,35.444,39.843,47.372
"I sent updates, answered messages, and planned tomorrow's priorities. I can continue after a short break and another review pass.",92.231,114.816,0.25007,0.03726,0.09868,130.815,64.064,10.339,629.624,0.09186,-0.07516,0.10167,0.05717,0.09638,0.70165,14.924,46.821,35.689
The workday was manageable and I moved through the checklist steadily. The schedule is clear enough for the next session.,75.662,110.976,0.14218,0.05746,0.0549,150.979,74.536,8.612,801.327,0.13165,-0.30211,0.09195,0.03028,0.11662,0.60538,21.374,21.717,54.772
"I sent updates, answered messages, and planned tomorrow's priorities. Everything feels urgent and I am trying to catch up quickly. The current draft is usable, but it still needs refinement.",96.967,128.576,0.2828,0.15479,0.14267,203.511,58.215,8.094,923.453,0.21432,-0.3972,0.09094,0.06142,0.08036,0.65936,59.875,40.73,47.234
The workday was manageable and I moved through the checklist steadily. Everything feels urgent and I am trying to catch up quickly. I do not feel engaged and it is difficult to sustain momentum. The schedule is clear enough for the next session.,122.295,132.425,0.30153,0.14866,0.1372,197.683,56.09,8.449,1108.871,0.25077,-0.72904,0.11678,0.04522,0.10605,0.62683,62.835,34.15,69.763
"I sent updates, answered messages, and planned tomorrow's priorities. I am rushing through deadlines and keep switching between tasks. The current draft is usable, but it still needs refinement.",121.489,124.963,0.22898,0.16222,0.13248,242.24,76.576,8.923,1011.418,0.19542,-0.67793,0.09992,0.07573,0.07569,0.7357,55.256,52.565,44.215
"I sent updates, answered messages, and planned tomorrow's priorities. I keep worrying that something might go wrong even after I check it. The current draft is usable, but it still needs refinement.",102.968,120.036,0.30331,0.15447,0.14201,214.142,59.35,9.266,870.929,0.19512,-0.11469,0.11213,0.10388,0.09119,0.71926,45.101,61.832,34.809
"I sent updates, answered messages, and planned tomorrow's priorities. Everything feels urgent and I am trying to catch up quickly. I keep worrying that something might go wrong even after I check it.",138.0,139.66,0.35895,0.25182,0.24115,279.315,46.535,7.668,1242.396,0.28771,-0.41205,0.13497,0.13704,0.11503,0.60174,95.028,81.314,51.844
"I finished the review, documented the results, and cleaned up the notes. I am uneasy and keep revisiting the same point for reassurance. It is hard to stay motivated and my energy feels low.",115.05,108.655,0.2649,0.11742,0.12386,212.792,55.78,8.799,771.184,0.18633,-0.4625,0.13794,0.10387,0.11617,0.71517,29.561,57.512,57.427
"I sent updates, answered messages, and planned tomorrow's priorities. I can continue after a short break and another review pass.",112.399,121.682,0.24454,0.16248,0.13573,222.554,53.391,6.686,938.991,0.22076,-0.71673,0.10726,0.07973,0.09995,0.6035,47.238,46.374,52.111
"I sent updates, answered messages, and planned tomorrow's priorities. I can continue after a short break and another review pass.",99.89,97.226,0.2006,0.09557,0.10476,177.711,58.315,9.486,806.939,0.17752,0.3572,0.0803,0.06931,0.06572,0.6234,37.501,35.661,32.211
The workday was manageable and I moved through the checklist steadily. I will revisit the remaining items tomorrow.,101.497,125.806,0.12165,0.10493,0.07048,183.615,63.504,10.343,881.052,0.11699,-0.35034,0.08666,0.04389,0.10414,0.7038,32.927,24.152,48.672
The workday was manageable and I moved through the checklist steadily. I am rushing through deadlines and keep switching between tasks. I can continue after a short break and another review pass.,116.846,128.593,0.21898,0.16559,0.13445,171.209,61.848,10.513,1080.305,0.19975,-0.15734,0.09376,0.08369,0.08423,0.62251,56.711,28.549,44.356
"I finished the review, documented the results, and cleaned up the notes. I will revisit the remaining items tomorrow.",121.568,130.64,0.2419,0.08302,0.12392,163.901,72.12,8.907,918.736,0.14842,-0.4108,0.09865,0.08119,0.08111,0.67963,38.012,47.729,39.173
"I finished the review, documented the results, and cleaned up the notes. The current draft is usable, but it still needs refinement.",102.677,94.917,0.23714,0.14686,0.15206,242.196,70.899,7.295,878.703,0.20531,0.2238,0.10622,0.09268,0.07885,0.6208,53.41,46.162,36.25
"I finished the review, documented the results, and cleaned up the notes. I will revisit the remaining items tomorrow.",110.497,124.283,0.16472,0.06658,0.10096,154.343,69.993,8.332,608.672,0.11662,0.11951,0.05392,0.06324,0.05937,0.76069,33.302,30.784,20.598
"I sent updates, answered messages, and planned tomorrow's priorities. The current draft is usable, but it still needs refinement.",107.982,91.09,0.13355,0.08278,0.0999,166.573,61.561,10.322,1050.806,0.18111,-0.27492,0.10473,0.02204,0.11595,0.60533,33.627,20.206,53.019
"The workday was manageable and I moved through the checklist steadily. There is too much to finish at once and the pace feels intense. I keep worrying that something might go wrong even after I check it. The current draft is usable, but it still needs refinement.",121.007,132.812,0.25679,0.18121,0.18432,263.248,55.44,5.751,836.946,0.1739,-0.60282,0.10518,0.09379,0.07291,0.61178,70.958,65.371,34.448
"The workday was manageable and I moved through the checklist steadily. I am rushing through deadlines and keep switching between tasks. I am uncertain about the outcome and keep second-guessing the details. The current draft is usable, but it still needs refinement.",121.239,135.112,0.32448,0.16659,0.17357,220.744,63.591,7.141,1085.89,0.28005,-0.39758,0.08987,0.09518,0.10577,0.67506,60.355,61.168,42.493
"I completed the main tasks for today and reviewed the next steps. The work feels heavier than it should and I am moving slowly. The current draft is usable, but it still needs refinement.",132.172,125.087,0.25077,0.1701,0.14792,216.645,52.973,9.063,958.326,0.28586,-0.50741,0.13598,0.09274,0.11965,0.66765,48.816,53.993,68.127
"I sent updates, answered messages, and planned tomorrow's priorities. It is hard to stay motivated and my energy feels low. I can continue after a short break and another review pass.",108.895,102.062,0.2844,0.15547,0.14654,213.474,56.181,9.88,1167.205,0.27834,-0.73161,0.11736,0.07565,0.09369,0.64495,51.698,40.251,62.835
The workday was manageable and I moved through the checklist steadily. I will revisit the remaining items tomorrow.,104.905,148.496,0.23844,0.14689,0.11115,192.962,67.642,9.12,753.381,0.23411,-0.40452,0.10602,0.06848,0.09284,0.71415,53.421,39.689,41.989
"The workday was manageable and I moved through the checklist steadily. The current draft is usable, but it still needs refinement.",95.893,102.764,0.13148,0.07289,0.06591,138.702,67.192,9.595,580.443,0.13686,0.10526,0.07015,0.04091,0.07848,0.69186,17.339,10.948,35.358
"I finished the review, documented the results, and cleaned up the notes. It is hard to stay motivated and my energy feels low. I can continue after a short break and another review pass.",103.332,128.124,0.20562,0.11605,0.11836,177.692,53.138,7.609,826.936,0.21863,-0.45838,0.10143,0.05563,0.11187,0.59855,46.509,32.589,60.091
"I sent updates, answered messages, and planned tomorrow's priorities. I am uncertain about the outcome and keep second-guessing the details. It is hard to stay motivated and my energy feels low.",95.765,106.418,0.30685,0.14404,0.1443,254.899,65.024,8.294,917.296,0.22524,-0.52216,0.14622,0.10681,0.11718,0.70423,39.938,73.433,55.966
"I sent updates, answered messages, and planned tomorrow's priorities. I will revisit the remaining items tomorrow.",88.447,98.601,0.14465,0.05346,0.07994,143.294,64.835,7.624,723.534,0.08383,0.35563,0.05923,0.04647,0.06399,0.85723,7.702,31.87,22.341
The workday was manageable and I moved through the checklist steadily. There is too much to finish at once and the pace feels intense. The work feels heavier than it should and I am moving slowly. The schedule is clear enough for the next session.,118.632,137.52,0.29908,0.13487,0.1208,205.481,60.63,6.99,967.431,0.19498,-0.2808,0.12803,0.08745,0.12672,0.64659,55.848,45.472,62.588
The workday was manageable and I moved through the checklist steadily. Everything feels urgent and I am trying to catch up quickly. I am uncertain about the outcome and keep second-guessing the details. It is hard to stay motivated and my energy feels low. I will revisit the remaining items tomorrow.,125.612,131.144,0.39185,0.2338,0.22605,264.988,54.625,6.351,1191.298,0.31413,-0.66815,0.1368,0.11849,0.11262,0.6794,85.885,79.168,59.427
The workday was manageable and I moved through the checklist steadily. I do not feel engaged and it is difficult to sustain momentum. The schedule is clear enough for the next session.,130.476,150.463,0.26252,0.16941,0.12002,230.606,60.589,5.729,1044.358,0.25306,-0.53351,0.14184,0.1042,0.12995,0.60228,43.182,53.229,74.204
"I finished the review, documented the results, and cleaned up the notes. I am uneasy and keep revisiting the same point for reassurance.",121.823,108.424,0.35275,0.13062,0.13129,233.059,72.965,8.885,906.234,0.1142,-0.21975,0.08628,0.07827,0.07676,0.56946,48.312,60.676,29.46
I completed the main tasks for today and reviewed the next steps. I can continue after a short break and another review pass.,92.924,127.048,0.24358,0.08898,0.11176,184.315,55.237,10.056,734.008,0.16075,-0.10574,0.11006,0.07743,0.07832,0.7034,29.13,44.795,43.922
"I sent updates, answered messages, and planned tomorrow's priorities. There is too much to finish at once and the pace feels intense. I am uncertain about the outcome and keep second-guessing the details. I feel mentally drained and focusing takes more effort than usual.",126.502,139.741,0.36269,0.26458,0.25967,304.797,42.965,2.855,1165.835,0.36109,-1.0,0.15154,0.15726,0.13429,0.56915,100.0,85.033,65.924
"I finished the review, documented the results, and cleaned up the notes. I keep correcting myself because I do not want to miss anything important. The current draft is usable, but it still needs refinement.",107.628,126.304,0.18548,0.16468,0.12844,247.356,57.665,9.979,991.019,0.22389,-0.54866,0.10014,0.07216,0.08943,0.63193,58.452,38.896,49.036
I completed the main tasks for today and reviewed the next steps. I keep correcting myself because I do not want to miss anything important.,105.056,153.089,0.24786,0.14774,0.16025,228.456,70.978,6.441,963.865,0.19772,-0.71856,0.10079,0.06784,0.09637,0.76751,63.191,40.72,39.583
"I sent updates, answered messages, and planned tomorrow's priorities. I am rushing through deadlines and keep switching between tasks. The current draft is usable, but it still needs refinement.",124.785,111.616,0.27865,0.17789,0.16265,229.248,57.319,7.023,1000.194,0.26186,-0.46144,0.10012,0.08381,0.09825,0.62054,61.678,53.142,46.532
The workday was manageable and I moved through the checklist steadily. There is too much to finish at once and the pace feels intense. I am uncertain about the outcome and keep second-guessing the details. It is hard to stay motivated and my energy feels low. I will revisit the remaining items tomorrow.,135.773,141.879,0.40864,0.20974,0.22775,271.445,42.437,8.653,1326.326,0.25275,-0.78668,0.12319,0.10986,0.11962,0.57517,86.524,76.644,55.874
The workday was manageable and I moved through the checklist steadily. I am rushing through deadlines and keep switching between tasks. My thoughts keep looping around possible mistakes and consequences. I will revisit the remaining items tomorrow.,120.636,140.5,0.31888,0.18944,0.18482,257.554,56.241,6.187,1025.651,0.25262,-0.35913,0.13202,0.10921,0.10012,0.66116,75.996,59.901,47.227
"I finished the review, documented the results, and cleaned up the notes. I can continue after a short break and another review pass.",112.551,118.645,0.18957,0.10935,0.0775,233.696,69.573,10.09,584.193,0.11597,0.46243,0.05975,0.08462,0.06351,0.7438,20.492,35.532,17.196
I completed the main tasks for today and reviewed the next steps. I am rushing through deadlines and keep switching between tasks. I keep worrying that something might go wrong even after I check it.,114.313,141.852,0.3642,0.20767,0.19284,269.012,45.585,8.955,1074.555,0.25883,-0.47215,0.12665,0.11013,0.09217,0.65525,66.975,78.735,50.598
I completed the main tasks for today and reviewed the next steps. I am rushing through deadlines and keep switching between tasks. I am uncertain about the outcome and keep second-guessing the details.,130.705,121.997,0.30043,0.19817,0.20184,240.104,59.715,8.478,1085.058,0.17688,-0.15894,0.1111,0.09748,0.09209,0.7657,72.746,68.858,31.329
"I finished the review, documented the results, and cleaned up the notes. I keep correcting myself because I do not want to miss anything important. My thoughts keep looping around possible mistakes and consequences. It is hard to stay motivated and my energy feels low.",142.765,150.237,0.34381,0.19815,0.21911,239.651,49.987,7.769,1334.774,0.32064,-1.0,0.12352,0.10866,0.12307,0.63076,92.189,58.797,67.364
